X,Y,Index_,premisetype
-79.4052277,43.6569824,7989,Commercial
-79.3799744,43.6540642,7994,Commercial
-79.3767319,43.6494064,7997,Commercial
-79.4356003,43.6498909,7119,Commercial
-79.5838089,43.7468147,7216,Commercial
-79.4940567,43.7752571,7520,Commercial
-79.3801117,43.6637001,7218,Commercial
-79.4763947,43.6831665,7123,Commercial
-79.4171066,43.6386528,7524,Commercial
-79.4998016,43.774353,7526,Commercial
-79.5849686,43.6783447,7527,Commercial
-79.4820404,43.7463875,7531,Commercial
-79.3313522,43.6817131,7532,Commercial
-79.4742966,43.7555351,7533,Commercial
-79.2923889,43.6952782,7538,Commercial
-79.5340195,43.5943642,7540,Commercial
-79.4340057,43.7373581,7550,Commercial
-79.4159927,43.6640892,7554,Commercial
-79.3923264,43.6460571,7563,Commercial
-79.3902893,43.6478577,7570,Commercial
-79.3599701,43.7529564,7585,Commercial
-79.3193054,43.6729088,7587,Commercial
-79.1494446,43.7968788,7591,Commercial
-79.524704,43.6271896,7125,Commercial
-79.2533875,43.7258949,7630,Commercial
-79.3919067,43.6416435,7640,Commercial
-79.465889,43.6654282,7644,Commercial
-79.3824234,43.6517639,7647,Commercial
-79.4327621,43.6697044,7653,Commercial
-79.3981476,43.6462326,7657,Commercial
-79.3050842,43.8241692,7665,Commercial
-79.2923279,43.7459068,7668,Commercial
-79.4882813,43.7640915,7674,Commercial
-79.1527786,43.797863,7675,Commercial
-79.5042496,43.7044754,7676,Commercial
-79.3471375,43.7354164,7677,Commercial
-79.302269,43.7694817,7678,Commercial
-79.6142807,43.7454948,7683,Commercial
-79.3683014,43.6650581,7684,Commercial
-79.4122086,43.7665672,7685,Commercial
-79.4482651,43.7248802,7686,Commercial
-79.3974762,43.7069244,7687,Commercial
-79.4120712,43.703846,7689,Commercial
-79.5892334,43.7410965,7691,Commercial
-79.1888199,43.7685089,7693,Commercial
-79.2511902,43.8366013,7233,Commercial
-79.3845978,43.6649399,7259,Commercial
-79.4732437,43.7045212,7274,Commercial
-79.3834229,43.6450844,7280,Commercial
-79.3834229,43.6450844,7283,Commercial
-79.3049927,43.6874847,7284,Commercial
-79.2514954,43.7721443,7289,Commercial
-79.2279282,43.7399826,7291,Commercial
-79.3812256,43.6570396,7292,Commercial
-79.6125946,43.7204056,7296,Commercial
-79.3982468,43.6433029,7300,Commercial
-79.5580597,43.7600021,7143,Commercial
-79.2883606,43.6912346,7146,Commercial
-79.3610458,43.6477394,7151,Commercial
-79.3821182,43.6590996,7153,Commercial
-79.5784149,43.6898994,7165,Commercial
-79.5561523,43.6142197,7168,Commercial
-79.2497711,43.7087784,7170,Commercial
-79.3909836,43.6805573,7171,Commercial
-79.5345993,43.7096863,7176,Commercial
-79.5170746,43.7548561,7178,Commercial
-79.3437195,43.7758369,7188,Commercial
-79.4117661,43.7648163,7194,Commercial
-79.2197266,43.7451057,7196,Commercial
-79.6039124,43.7436447,7199,Commercial
-79.4318695,43.6380272,6110,Commercial
-79.3923264,43.6460571,6608,Commercial
-79.5884018,43.7026253,6401,Commercial
-79.5607681,43.7244873,6117,Commercial
-79.233078,43.7581863,6003,Commercial
-79.5080414,43.6987534,6702,Commercial
-79.5665817,43.7374573,6004,Commercial
-79.5994186,43.6865616,6007,Commercial
-79.4714813,43.7678299,6015,Commercial
-79.2606201,43.7334747,6029,Commercial
